id,name,short_name,clubelo_name,elo
1,"Arsenal",ARS,"Arsenal",2063.76
2,"Manchester City",MCI,"Man City",1970.85
3,"Aston Villa",AVL,"Aston Villa",1920.97
4,"Manchester United",MUN,"Man United",1915.32
5,"Liverpool",LIV,"Liverpool",1910.80
6,"Bournemouth",BOU,"Bournemouth",1871.97
7,"Brighton & Hove Albion",BHA,"Brighton",1842.01
8,"Newcastle United",NEW,"Newcastle",1837.53
9,"Brentford",BRE,"Brentford",1836.59
10,"Chelsea",CHE,"Chelsea",1831.10
11,"Nottingham Forest",NFO,"Forest",1822.17
12,"Fulham",FUL,"Fulham",1813.10
13,"Crystal Palace",CRY,"Crystal Palace",1803.82
14,"Everton",EVE,"Everton",1803.43
15,"Leeds United",LEE,"Leeds",1797.39
16,"Tottenham Hotspur",TOT,"Tottenham",1777.31
17,"Sunderland",SUN,"Sunderland",1735.93
18,"Coventry City",COV,"Coventry",1661.48
19,"Ipswich Town",IPS,"Ipswich",1640.00
20,"Hull City",HUL,"Hull",1532.88
